#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FINALIDADE,FINALIDADE,CODIGO_ATIVIDADE,ATIVIDADE,CODIGO_MODALIDADE,MODALIDADE
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","12","FORMAÇÃO DE CULTURAS PERENES"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","2","Pecuário(a)","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","3","Investimento","1","Agrícola","90","SERVIÇOS PROFISSIONAIS/TÉCNICOS"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","2","Pecuário(a)","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","1","Agrícola","70","AQUISIÇÃO DE ATIVOS OPERACIONAIS"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","2","Pecuário(a)","60","AQUICULTURA"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","2","Pecuário(a)","50","PESCA"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","1","Agrícola","99","Renegociação Total com Nova Operação - Encerrado"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","2","Pecuário(a)","99","Renegociação Total com Nova Operação - Encerrado"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","2","Pecuário(a)","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","1","Agrícola","40","ATENDIMENTO A COOPERADOS (MCR 5-2)"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","3","Investimento","2","Pecuário(a)","14","MÁQUINAS, EQUIPAMENTOS, MATERIAIS E UTENSÍLIOS"
