#CODIGO,DESCRICAO,DATA_INICIO,DATA_FIM
"6750","ADUBAÇÃO ORGÂNICA/MINERAL, CALAGEM, SUBSTRATOS INERTES(PEDRA, AREIA, VERMICULITA, SILTE, ARGILA ETC)","01/01/2014",
"6760","SUÍNOS","14/05/2012",
"6770","TANINO","01/07/2013","31/12/2099"
"6775","TAMARINDO","01/01/2014","31/12/2099"
"6777","TAIOBA","01/01/2015",
"6780","TANGERINA","14/05/2012",
"6789","Raspador","24/09/2020","31/12/2099"
"6900","TAPEREBÁ","14/05/2012",
"6920","TERREIROS","14/05/2012",
"6940","TOMATE","14/05/2012",
"6960","TORANJA","14/05/2012",
"6978","RECUPERAÇÃO DE CAFEZAIS","23/11/2021",
"7080","TRATOR","14/05/2012",
"7100","TRIGO","14/05/2012",
"7110","TRIGO SARRACENO/MOURISCO","24/03/2020",
"7120","TRIPAS","14/05/2012",
"7140","TRITICALE","14/05/2012",
"7160","TUCUM","14/05/2012",
"7180","TULHA","14/05/2012",
"7200","TUNGUE","14/05/2012",
"7210","UMBU","14/05/2012",
"7220","TURISMO E LAZER RURAL","14/05/2012",
"7230","TRICICLOS E QUADRICLOS","01/01/2014",
"7240","URUCUM","14/05/2012",
"7260","UTILITÁRIOS","14/05/2012",
"7280","UVA","14/05/2012",
"7300","VACINAS, SAIS MINERAIS E MEDICAMENTOS","14/05/2012",
"7320","VAGEM","14/05/2012",
"7321","LONGAN","31/10/2018",
"7330","VEÍCULO AÉREO NÃO TRIPULADO (DRONE)","28/07/2017",
"7340","VIME","14/05/2012",
"7360","VISCACHAS","14/05/2012",
"7380","SUPRIMENTO DE RECURSOS PARA ATENDIMENTO A COOPERADOS","14/05/2012",
"7400","INTEGRALIZAÇÃO DE COTAS PARTES","14/05/2012",
"7420","ANTECIPAÇÃO DE RECURSOS ORIGINÁRIOS DE TAXA DE RETENÇÃO","14/05/2012",
"7440","ATENDIMENTO DE DESPESAS","14/05/2012","31/12/2013"
"7460","Armação para Barco de Pesca","01/07/2013",
"7465","Aerador","01/07/2013",
"7470","Alevinos","01/07/2013",
"7475","Alimentador de Peixe","01/07/2013",
"7480","PRODUTOS AQUICOLAS (Armazenamento, Acondicionamento e Preservação, inclusive Seguro, Impostos etc)","01/07/2013",
"7485","Camarão e Lagosta","01/07/2013",
"7486","CAMARÃO","01/07/2015","31/12/2099"
"7490","Caminhões Frigoríficos","01/07/2013",
"7495","CARCINICULTURA (Cultivo de Camarão e Lagosta)","25/06/2013",
"7500","MARICULTURA (Cultivo de Marisco)","25/06/2013",
"7505","MITILICULTURA (Cultivo de Mexilhão)","25/06/2013",
"7510","OSTREICULTURA (Cultivo de Ostras)","25/06/2013",
"7511","OSTRAS","08/05/2018","31/12/2099"
"7512","OSTREICULTURA","01/01/2015","31/12/2099"
"7515","PISCICULTURA (Cultivo de Peixe)","25/06/2013",
